a-,ə
an-,ən
ante-,æːn.tʰi
anti-,æntiː
auto-,ɔː.təʊ
circum-,t͡ʃir.kum
co-,ko
com-,kom
con-,kɔn
contra-,kɔn.traː
de-,diː
dis-,dɪs
en-,ən-
ex-,ɛks
extra-,ekstrə
hetero-,hɛtɛro
homo-,ho(ː)mo
homeo-,homio
hyper-,haɪpɚ
il-,il
 im-,im
in-,in
ir-,ir
inter-,ɪntə
intra-,ɪntra
intro-,ɪntrə
macro-,mæk.ɹoʊ
micro-,maɪkroʊ
mono-,mɒn.əʊ
non-,nɑn
omni-,ɔm.ni
post-,poʊst
pre-,pre
pro-,pɹəʊ
sub-,səb
sym-,sym
syn-,syn
tele-,tɛl.ə
trans-,trans
tri-,tɹaɪ
un-,un
uni-,juːnɪ
up-,up
-cy,siː
-al,əl
-ance,əns
-ence,əns
-dom,dɔm
-er,ɚ
-or,ɚ
-ism,ɪzm̩
-ist,-ɪst
-ity,ɪti
-ty,tɨ
-ment,mɛnt
-ness,nɪ̈s
-ship,ʃɪp
-sion,ʒən
-tion,-tʃən
-ate,eɪt
-en,ən
-ify,ɪfaɪ
-fy,faɪ
-ize,-aɪz
-able,ə.bl̩
-ible,ibl
-al,əl
-esque,-ɛsk
-ful,fʊl
-ic,ik
-ical,ɪkəl
-ious,iəs
-ous,əs
-ish,ɪʃ
-ive,ɪv
-less,lɪs
-y,i
-wise,waɪz
